Location,LocationHierarchy,audience_man,audience_woman,Frequency,%ven_audience_man,%ven_audience_woman,audience_adolecent,audience_young_adult,audience_middle_age,audience_elder,audience_adult,%ven_audience_adolecent,%ven_audience_young_adult,%ven_audience_adult,%ven_audience_middle_age,%ven_audience_elder,audience_locals_man,audience_locals_woman,%locals_audience_man,%locals_audience_woman,audience_locals_adolecent,audience_locals_young_adult,audience_locals_middle_age,audience_locals_elder,audience_locals_adult,%locals_audience_adolecent,%locals_audience_young_adult,%locals_audience_adult,%locals_audience_middle_age,%locals_audience_elder,audience_adolecent_man,audience_young_adult_man,audience_middle_age_man,audience_elder_man,audience_adult_man,audience_adolecent_woman,audience_young_adult_woman,audience_middle_age_woman,audience_elder_woman,audience_adult_woman,audience_home,audience_recent,%ven_audience_home,%ven_audience_recent,audience_locals_home,audience_locals_recent,%locals_audience_home,%locals_audience_recent,audience_home_man,audience_recent_man,audience_home_woman,audience_recent_woman,audience_iOS,audience_Android,audience_Other,%ven_audience_iOS,%ven_audience_Android,%ven_audience_Other,audience_iOS_man,audience_Android_man,audience_Other_man,audience_iOS_woman,audience_Android_woman,audience_Other_woman,audience_locals_iOS,audience_locals_Android,audience_locals_Other,%locals_audience_iOS,%locals_audience_Android,%locals_audience_Other,venezuelans,allmigrants,allpopulation,allnonmigrant,ven/migrants,ven/pop,100ven/migrants,100ven/pop,not_enough_data,%diff_audience_home,%diff_audience_recent,%diff_audience_man,%diff_audience_woman,%diff_audience_adolecent,%diff_audience_young_adult,%diff_audience_adult,%diff_audience_middle_age,%diff_audience_elder,%diff_audience_iOS,%diff_audience_Android,%diff_audience_Other,ramv_venezuelans,fb/ramv,display_audience_man,display_audience_woman,display_audience_adolecent,display_audience_young_adult,display_audience_middle_age,display_audience_elder,display_audience_adult,display_audience_locals_man,display_audience_locals_woman,display_audience_locals_adolecent,display_audience_locals_young_adult,display_audience_locals_middle_age,display_audience_locals_elder,display_audience_locals_adult,display_audience_adolecent_man,display_audience_young_adult_man,display_audience_middle_age_man,display_audience_elder_man,display_audience_adult_man,display_audience_adolecent_woman,display_audience_young_adult_woman,display_audience_middle_age_woman,display_audience_elder_woman,display_audience_adult_woman,display_audience_home,display_audience_recent,display_audience_locals_home,display_audience_locals_recent,display_audience_home_man,display_audience_recent_man,display_audience_home_woman,display_audience_recent_woman,display_audience_iOS,display_audience_Android,display_audience_Other,display_audience_iOS_man,display_audience_Android_man,display_audience_Other_man,display_audience_iOS_woman,display_audience_Android_woman,display_audience_Other_woman,display_audience_locals_iOS,display_audience_locals_Android,display_audience_locals_Other
"Cúcuta, Norte de Santander, Colombia",City,27000.0,26000.0,Monthly,50.94,49.06,5000.0,19000.0,7400.0,1000.0,22000.0,9.19,34.93,40.44,13.6,1.84,250000.0,280000.0,47.17,52.83,66000.0,160000.0,110000.0,12000.0,200000.0,12.04,29.2,36.5,20.07,2.19,2300.0,9700.0,3600.0,1000.0,11000.0,2700.0,9100.0,3800.0,1000.0,10000.0,52000.0,13000.0,80.0,20.0,520000.0,170000.0,75.36,24.64,26000.0,6100.0,25000.0,6600.0,1700.0,34000.0,18000.0,3.17,63.31,33.52,1000.0,16000.0,10000.0,1000.0,18000.0,7800.0,30000.0,380000.0,140000.0,5.45,69.09,25.45,54000.0,73000.0,600000.0,540000.0,0.7397,0.0900,73.97,9.00,False,4.64,-4.64,3.77,-3.77,-2.85,5.73,3.94,-6.47,-0.35,-2.29,-5.78,8.07,,,27K,26K,5.0K,19K,7.4K,1.0K,22K,250K,280K,66K,160K,110K,12K,200K,2.3K,9.7K,3.6K,1.0K,11K,2.7K,9.1K,3.8K,1.0K,10K,52K,13K,520K,170K,26K,6.1K,25K,6.6K,1.7K,34K,18K,1.0K,16K,10K,1.0K,18K,7.8K,30K,380K,140K
"Cúcuta, Norte de Santander, Colombia",City,13674.0,14811.0,Daily,48.0,52.0,2739.0,8661.0,4940.0,444.0,13062.0,9.18,29.02,43.76,16.55,1.49,140872.0,176710.0,44.36,55.64,522.0,94936.0,64134.0,6922.0,126615.0,0.18,32.39,43.19,21.88,2.36,1371.0,4803.0,1969.0,332.0,5509.0,1607.0,4600.0,2461.0,599.0,5715.0,27637.0,8003.0,77.54,22.46,303124.0,130463.0,69.91,30.09,12793.0,4768.0,14259.0,4825.0,901.0,19725.0,7296.0,3.23,70.64,26.13,624.0,8864.0,4005.0,333.0,10086.0,3651.0,21324.0,251747.0,365.0,7.8,92.07,0.13,29792.0,36167.0,355999.0,321983.0,0.8237,0.0837,82.37,8.37,False,7.63,-7.63,3.65,-3.65,9.0,-3.37,0.57,-5.33,-0.87,-4.57,-21.42,26.0,,,13K,14K,2.7K,8.6K,4.9K,444,13K,140K,176K,522,94K,64K,6.9K,126K,1.3K,4.8K,1.9K,332,5.5K,1.6K,4.6K,2.4K,599,5.7K,27K,8.0K,303K,130K,12K,4.7K,14K,4.8K,901,19K,7.2K,624,8.8K,4.0K,333,10K,3.6K,21K,251K,365
"Arauca, Arauca, Colombia",City,2900.0,3000.0,Monthly,49.15,50.85,1000.0,2300.0,1000.0,1000.0,2500.0,12.82,29.49,32.05,12.82,12.82,25000.0,26000.0,49.02,50.98,7100.0,15000.0,10000.0,1000.0,20000.0,13.37,28.25,37.66,18.83,1.88,1000.0,1100.0,1000.0,1000.0,1300.0,1000.0,1100.0,1000.0,1000.0,1200.0,5700.0,1400.0,80.28,19.72,49000.0,19000.0,72.06,27.94,2800.0,1000.0,2800.0,1000.0,1000.0,3700.0,2200.0,14.49,53.62,31.88,1000.0,1700.0,1200.0,1000.0,2000.0,1000.0,2400.0,36000.0,14000.0,4.58,68.7,26.72,5900.0,7500.0,59000.0,52000.0,0.7867,0.1000,78.67,10.00,False,8.22,-8.22,0.13,-0.13,-0.55,1.24,-5.61,-6.01,10.94,9.91,-15.08,5.17,,,2.9K,3.0K,1.0K,2.3K,1.0K,1.0K,2.5K,25K,26K,7.1K,15K,10K,1.0K,20K,1.0K,1.1K,1.0K,1.0K,1.3K,1.0K,1.1K,1.0K,1.0K,1.2K,5.7K,1.4K,49K,19K,2.8K,1.0K,2.8K,1.0K,1.0K,3.7K,2.2K,1.0K,1.7K,1.2K,1.0K,2.0K,1.0K,2.4K,36K,14K
"Arauca, Arauca, Colombia",City,1721.0,1354.0,Daily,55.97,44.03,399.0,1021.0,599.0,997.0,891.0,10.21,26.13,22.81,15.33,25.52,14849.0,15409.0,49.07,50.93,4239.0,7951.0,5851.0,340.0,12634.0,13.67,25.64,40.74,18.87,1.1,0.0,439.0,0.0,0.0,438.0,399.0,513.0,333.0,997.0,599.0,2429.0,932.0,72.27,27.73,28687.0,14101.0,67.04,32.96,886.0,498.0,1004.0,571.0,0.0,1418.0,1059.0,0.0,57.25,42.75,0.0,980.0,599.0,0.0,746.0,556.0,1623.0,22110.0,5710.0,5.51,75.09,19.39,2530.0,3562.0,33727.0,29292.0,0.7103,0.0750,71.03,7.50,False,5.23,-5.23,6.89,-6.89,-3.46,0.5,-17.93,-3.53,24.42,-5.51,-17.85,23.36,,,1.7K,1.3K,399,1.0K,599,997,891,14K,15K,4.2K,7.9K,5.8K,340,12K,0,439,0,0,438,399,513,333,997,599,2.4K,932,28K,14K,886,498,1.0K,571,0,1.4K,1.0K,0,980,599,0,746,556,1.6K,22K,5.7K
"Riohacha, La Guajira, Colombia",City,6500.0,6200.0,Monthly,51.18,48.82,1500.0,4800.0,1200.0,1000.0,5100.0,11.03,35.29,37.5,8.82,7.35,59000.0,63000.0,48.36,51.64,20000.0,38000.0,20000.0,2000.0,45000.0,16.0,30.4,36.0,16.0,1.6,1000.0,2400.0,1000.0,1000.0,2700.0,1000.0,2400.0,1000.0,1000.0,2400.0,12000.0,2700.0,81.63,18.37,120000.0,37000.0,76.43,23.57,6200.0,1200.0,5900.0,1500.0,1000.0,7300.0,5300.0,7.35,53.68,38.97,1000.0,3500.0,3000.0,1000.0,3800.0,2300.0,4900.0,83000.0,36000.0,3.95,66.99,29.06,13000.0,17000.0,140000.0,120000.0,0.7647,0.0929,76.47,9.29,False,5.2,-5.2,2.82,-2.82,-4.97,4.89,1.5,-7.18,5.75,3.4,-13.31,9.91,,,6.5K,6.2K,1.5K,4.8K,1.2K,1.0K,5.1K,59K,63K,20K,38K,20K,2.0K,45K,1.0K,2.4K,1.0K,1.0K,2.7K,1.0K,2.4K,1.0K,1.0K,2.4K,12K,2.7K,120K,37K,6.2K,1.2K,5.9K,1.5K,1.0K,7.3K,5.3K,1.0K,3.5K,3.0K,1.0K,3.8K,2.3K,4.9K,83K,36K
"Riohacha, La Guajira, Colombia",City,2450.0,3873.0,Daily,38.75,61.25,833.0,2196.0,855.0,0.0,3451.0,11.36,29.94,47.05,11.66,0.0,26198.0,31968.0,45.04,54.96,5722.0,18271.0,10046.0,1088.0,24601.0,9.58,30.59,41.19,16.82,1.82,249.0,820.0,499.0,0.0,1181.0,332.0,901.0,997.0,0.0,1291.0,5667.0,1880.0,75.09,24.91,56452.0,26465.0,68.08,31.92,3126.0,733.0,3458.0,1249.0,664.0,3930.0,1852.0,10.3,60.97,28.73,0.0,1679.0,1161.0,997.0,1929.0,1034.0,2855.0,49204.0,9502.0,4.64,79.93,15.44,6300.0,8127.0,69153.0,60007.0,0.7752,0.0911,77.52,9.11,False,7.01,-7.01,-6.29,6.29,1.78,-0.65,5.86,-5.16,-1.82,5.66,-18.96,13.3,,,2.4K,3.8K,833,2.1K,855,0,3.4K,26K,31K,5.7K,18K,10K,1.0K,24K,249,820,499,0,1.1K,332,901,997,0,1.2K,5.6K,1.8K,56K,26K,3.1K,733,3.4K,1.2K,664,3.9K,1.8K,0,1.6K,1.1K,997,1.9K,1.0K,2.8K,49K,9.5K
"Distrito Especial, Colombia",State,150000.0,140000.0,Monthly,51.72,48.28,17000.0,110000.0,34000.0,3600.0,130000.0,5.77,37.34,44.13,11.54,1.22,3900000.0,4000000.0,49.37,50.63,750000.0,2100000.0,2000000.0,230000.0,3100000.0,9.17,25.67,37.9,24.45,2.81,7500.0,54000.0,17000.0,1800.0,77000.0,9800.0,51000.0,17000.0,1700.0,60000.0,290000.0,79000.0,78.59,21.41,7900000.0,2800000.0,73.83,26.17,150000.0,40000.0,130000.0,38000.0,16000.0,190000.0,93000.0,5.35,63.55,31.1,7400.0,95000.0,55000.0,7800.0,94000.0,38000.0,730000.0,5500000.0,1900000.0,8.98,67.65,23.37,290000.0,590000.0,8600000.0,8000000.0,0.4915,0.0337,49.15,3.37,False,4.76,-4.76,2.36,-2.36,-3.4,11.67,6.23,-12.91,-1.59,-3.63,-4.11,7.73,43483.0,6.669273049237633,150K,140K,17K,110K,34K,3.6K,130K,3.9M,4.0M,750K,2.1M,2.0M,230K,3.1M,7.5K,54K,17K,1.8K,77K,9.8K,51K,17K,1.7K,60K,290K,79K,7.9M,2.8M,150K,40K,130K,38K,16K,190K,93K,7.4K,95K,55K,7.8K,94K,38K,730K,5.5M,1.9M
"Distrito Especial, Colombia",State,86279.0,89059.0,Daily,49.21,50.79,8872.0,66678.0,16733.0,1505.0,77389.0,5.18,38.95,45.21,9.78,0.88,2334799.0,2508799.0,48.2,51.8,365399.0,1309839.0,1199999.0,117831.0,2024506.0,7.28,26.11,40.35,23.92,2.35,3370.0,29933.0,8208.0,799.0,44850.0,5751.0,29929.0,9205.0,424.0,39918.0,170712.0,728.0,99.58,0.42,4849546.0,2276586.0,68.05,31.95,85878.0,702.0,78702.0,29599.0,10900.0,119784.0,45774.0,6.18,67.88,25.94,4180.0,60350.0,26394.0,5431.0,59405.0,20005.0,545260.0,3775199.0,619653.0,11.04,76.42,12.54,174123.0,323791.0,5198986.0,4821333.0,0.5378,0.0335,53.78,3.35,False,31.52,-31.52,1.0,-1.0,-2.1,12.85,4.86,-14.14,-1.47,-4.86,-8.54,13.4,43483.0,4.004392521215188,86K,89K,8.8K,66K,16K,1.5K,77K,2.3M,2.5M,365K,1.3M,1.1M,117K,2.0M,3.3K,29K,8.2K,799,44K,5.7K,29K,9.2K,424,39K,170K,728,4.8M,2.2M,85K,702,78K,29K,10K,119K,45K,4.1K,60K,26K,5.4K,59K,20K,545K,3.7M,619K
"Amazonas, Colombia",State,1000.0,1000.0,Monthly,50.0,50.0,1000.0,1000.0,1000.0,1000.0,1000.0,20.0,20.0,20.0,20.0,20.0,9300.0,9000.0,50.82,49.18,3800.0,5000.0,3100.0,1000.0,6500.0,19.59,25.77,33.51,15.98,5.15,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,16000.0,7700.0,67.51,32.49,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,33.33,33.33,33.33,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,11000.0,6700.0,5.35,58.82,35.83,1000.0,2200.0,20000.0,18000.0,0.4545,0.0500,45.45,5.00,True,-17.51,17.51,-0.82,0.82,0.41,-5.77,-13.51,4.02,14.85,27.99,-25.49,-2.5,8.0,125.0,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,9.3K,9.0K,3.8K,5.0K,3.1K,1.0K,6.5K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,16K,7.7K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,1.0K,11K,6.7K
"Amazonas, Colombia",State,0.0,0.0,Daily,,,0.0,997.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,3637.0,4522.0,44.58,55.42,1393.0,1910.0,2021.0,0.0,2831.0,17.08,23.42,34.71,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5254.0,5201.0,50.25,49.75,0.0,0.0,997.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,428.0,5546.0,1462.0,5.76,74.58,19.66,997.0,1031.0,7537.0,7654.0,0.9670,0.1323,96.70,13.23,True,,,,,-17.08,76.58,-34.71,-24.78,0.0,,,,8.0,124.625,0,0,0,997,0,0,0,3.6K,4.5K,1.3K,1.9K,2.0K,0,2.8K,0,0,0,0,0,0,0,0,0,0,0,0,5.2K,5.2K,0,0,997,0,0,0,0,0,0,0,0,0,0,428,5.5K,1.4K
